0	33	23.38
1	33.25	23.38
2	33.25	23.39
3	33.5	23.39
4	33.5	23.39
5	33.5	23.39
6	33.25	23.4
7	33.75	23.4
8	34	23.4
9	33.75	23.41
10	33.25	23.41
11	33.5	23.41
12	34	23.42
13	34	23.42
14	33.5	23.42
15	33.5	23.43
16	33.75	23.43
17	34.25	23.44
18	33.75	23.44
19	34	23.44
20	33.25	23.45
21	34.25	23.45
22	34	23.46
23	34.25	23.46
24	33.75	23.47
25	34.25	23.47
26	34	23.48
27	34	23.48
28	34	23.49
29	34	23.5
30	34.25	23.5
31	34.25	23.51
32	34.25	23.51
33	34.25	23.52
34	34	23.52
35	34.5	23.53
36	34.25	23.54
37	33.5	23.54
38	34	23.55
39	34	23.55
40	33.5	23.56
41	34.5	23.57
42	34.5	23.57
43	33.75	23.58
44	34.5	23.59
45	34.5	23.59
46	34	23.6
47	34.25	23.6
48	34	23.61
49	34.5	23.62
50	34.25	23.62
51	34.25	23.63
52	34.5	23.64
53	34.5	23.64
54	34.5	23.65
55	34.75	23.66
56	33.75	23.67
57	34.5	23.67
58	34.75	23.68
59	34	23.69
60	34.5	23.69
61	34.5	23.7
62	34.5	23.71
63	34.75	23.72
64	34.25	23.72
65	34	23.73
66	34.25	23.74
67	34.75	23.75
68	34	23.75
69	34.75	23.76
70	34.5	23.77
71	35	23.77
72	35.5	23.78
73	35.75	23.98
74	37.25	29.91
75	38.5	35.72
76	40.25	41.42
77	42.25	47.1
78	44.25	52.84
79	47.5	58.55
80	50	64.34
81	54	69.97
82	57.25	75.64
83	60.5	81.37
84	64.5	87
85	67.25	92.66
86	70.75	94.99
87	73.75	94.91
88	75.5	94.93
89	78	94.96
90	80.75	94.97
91	82.5	94.98
92	84.25	94.99
93	85.75	95
94	87.5	95.01
95	87.75	95.01
96	89.25	95.02
97	90.5	95.02
98	91.25	95.02
99	91.5	95.03
100	92.75	95.03
101	93.5	95.03
102	94.25	95.04
103	95	95.04
104	95	95.04
105	95.5	95.04
106	96.25	95.04
107	96.5	95.04
108	96.5	95.05
109	96.5	95.05
110	96.75	95.05
111	97	95.05
112	97.25	95.05
113	98	95.05
114	97.75	95.05
115	98	95.05
116	98.25	95.05
117	98.5	95.05
118	98.25	95.05
119	98.75	95.05
120	98.5	95.06
