0,65.80,nan,60
1,65.52,nan,60
2,65.80,nan,60
3,65.80,nan,60
4,66.08,nan,60
5,66.35,nan,60
6,66.08,nan,60
7,65.80,nan,60
8,66.08,nan,60
9,66.62,nan,60
10,66.08,nan,60
11,67.72,nan,60
12,82.85,nan,60
13,82.58,nan,60
14,82.85,nan,60
15,83.68,nan,60
16,79.27,nan,60
17,83.68,nan,60
18,84.22,nan,60
19,84.22,nan,60
20,84.22,nan,60
21,84.22,nan,60
22,85.33,nan,60
23,85.33,nan,60
24,84.77,nan,60
25,85.05,nan,60
26,84.77,nan,60
27,85.60,nan,60
28,85.05,nan,60
29,85.33,nan,60
30,85.60,nan,60
31,85.33,nan,60
32,85.60,nan,60
33,84.77,nan,60
34,85.60,nan,60
35,85.87,nan,60
36,85.87,nan,60
37,86.15,nan,60
38,85.87,nan,60
39,86.15,nan,60
40,86.15,nan,60
41,85.87,nan,60
42,86.15,nan,60
43,86.15,nan,60
44,86.15,nan,60
45,85.60,nan,60
46,86.15,nan,60
47,85.60,nan,60
48,74.60,nan,60
49,70.47,nan,60
50,69.37,nan,60
51,70.20,nan,60
52,69.65,nan,60
53,69.65,nan,60
54,69.10,nan,60
55,69.65,nan,60
56,69.10,nan,60
57,69.37,nan,60
58,69.10,nan,60
59,68.55,nan,60
60,69.10,nan,60
61,69.10,nan,60
62,68.83,nan,60
63,69.10,nan,60
64,68.83,nan,60
65,68.27,nan,60
66,68.83,nan,60
67,69.10,nan,60
68,68.27,nan,60
69,68.55,nan,60
70,68.27,nan,60
71,68.83,nan,60
72,68.55,nan,60
73,68.27,nan,60
74,68.27,nan,60
75,68.55,nan,60
76,68.83,nan,60
77,68.55,nan,60
78,68.00,nan,60
79,68.00,nan,60
80,68.00,nan,60
81,68.00,nan,60
82,68.00,nan,60
83,68.27,nan,60
