0	25.73	24.34	16
1	27.12	25.17	16
2	27.4	25.45	16
3	27.67	25.?3	16
4	27.4	25>?3	16
5	27.67	26.01	16
6	27.95	25.45	16
7	28.23	26.29	16
8	27.95	26.01	16
9	28.23	25.73	16
10	28.78	26.01	16
			
12	28.78	26>01	16
13	28.78	25.73	16
14	28.78	26.29	16
15	28.78	26.29	16
16	28.78	26.01	16
17	28.78	26.29	16
18	29.06	26.56	16
			
			
21	29.06	26.2⸮	16
22	29.62	26>01	16
23	29.34	26.56	16
24	29.62	26.01	16
			
			
27	29.34	25.45	16
28	29.62	26.29	16
29	29.62	26.2⸮	16
30	29.62	26.56	16
31	29.89	26.56	16
32	29.62	26.56	16
33	29.8	26.56	16
34	29.78	26.01	16
35	29.62	26.01	16
36	29.34	26.56	16
37	29.62	26.29	16
38	29.34	26.⸮4	16
39	29.06	25.?3	16
40	29.06	26>29	16
41	29.06	26.29	16
42	29.06	25.73	16
			
44	29.06	26.01	16
45	29.34	26.29	16
46	29.34	26.01	16
47	29.34	26.84	16
48	29.34	26.29	16
49	29.62	26.84	16
50	29.06	26.84	16
			
			
53	29.62	26.56	16
54	29.89	26.29	16
			
56	29.62	26>⸮4	16
57	29.34	26.⸮4	16
58	29.34	26.56	16
59	29.06	26.84	16
			
			
62	29.34	26.84	16
63	29.62	26.84	16
64	29.62	27.12	16
65	29.34	26.84	16
66	29.62	26>56	16
67	29.89	26.84	16
			
			
			
71	29.89	27.4	16
72	30.17	27.12	16
73	29.34	26.⸮4	16
74	30.17	27>12	16
75	29.89	26>84	16
76	30.17	27.12	16
			
			
			
			
			
82	29.89	27.12	16
83	29.62	26.⸮4	16
84	29.89	27>40	16
			
			
			
88	30.17	27.4	16
89	29.62	27.12	16
90	30.45	2?.40	16
91	30.45	26.2⸮	16
92	29.89	2?.12	16
93	30.17	26.84	16
			
			
96	30.45	27.12	16
97	30.45	27.12	16
98	29.89	26.84	16
99	30.17	27.12	16
100	29.89	27.12	16
101	30.17	27.12	16
			
103	30.73	27.4	16
104	30.45	26.84	16
105	30.73	27.4	16
106	30.45	26.56	16
107	31	27.12	16
108	29.89	27.12	16
			
			
111	30.45	27.4	16
112	30.73	27.4	16
113	29.89	27.12	16
114	31	2?>40	16
115	31	2?.40	16
116	30.73	27.12	16
			
118	30.73	27.12	16
119	30.73	27.4	16
120	30.73	27.4	16
121	31	27>12	16
122	30.45	2?.67	16
123	30.73	26.56	16
124	31	27.4	16
125	31.28	27.12	16
126	31	26.84	16
127	31	27.4	16
128	30.45	27.4	16
129	30.45	27>40	16
130	31	26.84	16
			
			
133	30.73	27.12	16
134	31	27.4	16
135	31.28	27.12	16
136	31.56	27.12	16
137	30.45	2?.12	16
138	30.73	27.4	16
139	30.73	27.4	16
			
141	31.28	26.84	16
142	30.73	27.4	16
			
			
145	31.28	26.84	16
			
147	31.28	27.4	16
148	31.28	27.12	16
149	31.56	27.4	16
150	32.67	26.84	16
151	32.11	27.4	16
152	31.84	27.67	16
153	31.84	2?.40	16
154	32.11	27.12	16
			
156	31.56	27.12	16
			
158	31.56	26.84	16
159	31.28	26>⸮4	16
160	32.39	27>40	16
161	31.56	26.56	16
162	31	27.4	16
			
164	31.56	27.12	16
165	31.84	27.12	16
166	31.56	27.12	16
167	31.28	27.4	16
168	31.56	2?>40	16
169	31.28	26.84	16
170	31.28	27.12	16
171	31.56	26.84	16
			
173	31.84	27.4	16
174	32.39	26.84	16
175	31.84	26.84	16
176	32.11	27>40	16
177	31	26>84	16
178	31.56	2?.12	16
			
			
181	31.28	27.67	16
182	31.56	27.4	16
183	31.28	26.84	16
184	32.11	27.12	16
185	32.11	27.12	16
186	32.39	27>40	16
			
188	31.84	27.4	16
			
190	31.56	27.67	16
191	31.28	27.12	16
			
193	31.84	26.84	16
194	32.11	2?>40	16
195	31.84	26.84	16
196	32.39	27.4	16
			
198	32.11	27.12	16
199	32.11	27.12	16
200	31.84	26.84	16
201	32.11	27.6?	16
			
203	32.67	27.4	16
204	32.39	2?.67	16
205	32.11	27.67	16
206	32.39	27.67	16
207	32.39	27.12	16
208	32.11	27.12	16
209	32.67	27.12	16
210	32.11	26.⸮4	16
211	32.11	27>12	16
212	32.39	26.84	16
213	33.22	27.4	16
			
215	32.67	26.84	16
216	32.67	26.56	16
217	32.95	27.4	16
218	32.11	26.84	16
219	32.67	26.⸮4	16
220	32.39	26.84	16
221	32.95	27.4	16
			
223	31.84	27.12	16
224	32.67	27.4	16
225	32.39	27.67	16
226	32.95	27.4	16
227	33.22	27>40	16
228	32.39	26.56	16
			
			
231	32.39	27.4	16
232	32.95	27.4	16
233	32.67	27.4	16
234	32.67	26.⸮4	16
235	32.11	27.12	16
236	32.39	26.84	16
			
			
239	32.95	26.84	16
240	32.95	27.67	16
241	32.67	27.12	16
242	32.95	27>40	16
243	32.67	2?>40	16
244	32.95	27.4	16
			
246	33.22	27.12	16
247	32.95	27.12	16
248	32.95	26.84	16
249	33.22	27.4	16
			
251	32.95	27.12	16
252	33.5	27.12	16
253	33.22	27.12	16
254	32.95	27.4	16
